timestamp,size,anomaly
1739421116.604473,256,False
1739421116.604711,54,False
1739421116.604802,220,False
1739421116.605154,54,False
1739421116.605524,54,False
1739421116.60609,54,False
1739421116.606198,86,False
1739421116.606554,86,False
1739421116.623702,54,False
1739421116.623752,54,False
1739421116.624028,54,False
1739421116.624809,54,False
1739421116.624809,54,False
1739421116.624809,54,False
1739421116.624809,54,False
1739421116.624809,54,False
1739421116.624809,54,False
1739421116.624809,54,False
1739421116.624809,374,False
1739421116.624809,54,False
1739421116.624809,54,False
1739421116.624809,54,False
1739421116.624906,54,False
1739421116.650398,66,False
1739421116.679988,54,False
1739421116.682336,86,False
1739421116.682534,74,False
1739421116.682833,86,False
1739421116.68298,74,False
1739421116.683794,1867,False
1739421116.684818,1867,False
1739421116.715645,233,False
1739421116.715806,956,False
1739421116.744076,214,False
1739421116.748675,545,False
1739421116.748966,223,False
1739421116.751612,74,False
1739421116.751858,173,False
1739421116.753136,713,False
1739421116.762674,74,False
1739421116.76292,173,False
1739421116.76427,713,False
1739421116.774488,74,False
1739421116.790189,54,False
1739421116.826098,1454,False
1739421116.827823,1454,False
1739421116.827949,74,False
1739421116.828152,1391,False
1739421116.828232,91,False
1739421116.830137,148,False
1739421116.830319,166,False
1739421116.830358,74,False
1739421116.83062,486,False
1739421116.830662,151,False
1739421116.835206,138,False
1739421116.837103,1292,False
1739421116.837175,1292,False
1739421116.837832,1292,False
1739421116.840602,1292,False
1739421116.840817,1292,False
1739421116.841626,1292,False
1739421116.841626,233,False
1739421116.841626,85,False
1739421116.841626,92,False
1739421116.841709,1454,False
1739421116.841771,74,False
1739421116.841821,98,False
1739421116.842126,1454,False
1739421116.842542,1391,False
1739421116.842711,139,False
1739421116.843234,1292,False
1739421116.843551,1292,False
1739421116.843835,1292,False
1739421116.844115,1292,False
1739421116.844731,1292,False
1739421116.845008,1292,False
1739421116.845076,234,False
1739421116.845297,1292,False
1739421116.845554,1292,False
1739421116.845869,1292,False
1739421116.846902,1292,False
1739421116.855417,1292,False
1739421116.855573,1292,False
1739421116.855839,1292,False
1739421116.856155,1292,False
1739421116.856441,94,False
1739421116.857649,1292,False
